"Story","Title","Result","Date","Stability","Duration (s)"
"Automatizacion de Api Rest","Eliminar la informacion de un usuario","SUCCESS","2022-09-07T23:26:45.4510948-05:00[America/Bogota]","0.0","3.89"
"Automatizacion de Api Rest","Consultar informacion de usuario","SUCCESS","2022-09-07T23:26:51.2257097-05:00[America/Bogota]","0.0","1.25"
"Automatizacion de Api Rest","Actualizar un usuario con el metodo Patch","SUCCESS","2022-09-07T23:26:52.555581-05:00[America/Bogota]","0.0","1.31"
"Automatizacion de Api Rest","Crear un usuario con el metodo Post","SUCCESS","2022-09-07T23:26:53.9789178-05:00[America/Bogota]","0.0","1.3"
